"Size","Value","SD","n","SE","Metric"
255,0,0,3,0,"A) Abundance"
285,0.0745945436666667,0.0206392520731346,3,0.0119160777402968,"A) Abundance"
315,0.198004393666667,0.179628016354714,3,0.103708283596393,"A) Abundance"
345,1.11223891266667,0.781131289562609,3,0.450986360301412,"A) Abundance"
375,2.04755891833333,1.26857480743555,3,0.732412006560095,"A) Abundance"
405,2.73808416133333,2.4791213624371,3,1.43132138595681,"A) Abundance"
435,3.745465676,1.38606926886049,3,0.800247465492071,"A) Abundance"
465,6.08799727433333,1.57423290595314,3,0.908883792019213,"A) Abundance"
495,7.99295537233333,2.27994661669306,3,1.31632779288571,"A) Abundance"
525,10.697975371,4.45354670448488,3,2.57125638868291,"A) Abundance"
555,8.15448267966667,1.58316193830202,3,0.914038971249441,"A) Abundance"
585,8.568369094,0.761340230935095,3,0.439559987275269,"A) Abundance"
615,9.42415235933333,3.36462588983473,3,1.94256766321846,"A) Abundance"
645,7.87812194066667,0.534286651047709,3,0.308470541806818,"A) Abundance"
675,9.278423883,2.74799818481345,3,1.58655749173465,"A) Abundance"
705,5.71401029566667,2.11049440308517,3,1.21849451174442,"A) Abundance"
735,4.212434888,0.740301616999156,3,0.427413337855978,"A) Abundance"
765,2.67414591766667,1.41541351216594,3,0.817189372263641,"A) Abundance"
795,2.442068622,1.75065931940209,3,1.01074362931612,"A) Abundance"
825,1.43542999033333,1.62601996232774,3,0.938783062957628,"A) Abundance"
855,1.07327657466667,0.879805953873962,3,0.507956204303767,"A) Abundance"
885,0.591938567666667,0.15686503115803,3,0.0905660679655279,"A) Abundance"
915,1.06868400566667,1.40167340097056,3,0.809256515366293,"A) Abundance"
945,0.378534525333333,0.475108324591792,3,0.274303919097303,"A) Abundance"
975,0.609017704666667,0.554817667121286,3,0.320324129463634,"A) Abundance"
1005,0.239660507,0.415104174691717,3,0.239660507,"A) Abundance"
1035,0.0271334473333333,0.0469965093658276,3,0.0271334473333333,"A) Abundance"
1065,0.384038355,0.271874967661626,3,0.156967085765361,"A) Abundance"
1095,0.027153253,0.047030813786772,3,0.027153253,"A) Abundance"
1125,0.116463131333333,0.167585805979274,3,0.0967557101944944,"A) Abundance"
1155,0.166394083666667,0.199129600939744,3,0.114967528706184,"A) Abundance"
1185,0.028741092,0.0304235535912108,3,0.0175650468555906,"A) Abundance"
255,0,0,3,0,"B) Biomass"
285,0.00655055901929789,0.00310583726359845,3,0.00179315598019774,"B) Biomass"
315,0.0226483796682944,0.0196142052235645,3,0.0113242666657655,"B) Biomass"
345,0.182661563186274,0.158515591170979,3,0.0915190192333174,"B) Biomass"
375,0.427610119038846,0.33819658845125,3,0.195257891381342,"B) Biomass"
405,0.741284142954518,0.792362637023207,3,0.457470781781151,"B) Biomass"
435,1.18334115905357,0.673097529965535,3,0.388613040116474,"B) Biomass"
465,2.31777072140333,1.01551201473134,3,0.586306135070438,"B) Biomass"
495,3.68718850075624,1.78674061408808,3,1.03157517451579,"B) Biomass"
525,5.98215354420554,3.58472493270554,3,2.06964190486831,"B) Biomass"
555,5.01855412341145,0.608909802294255,3,0.35155423826679,"B) Biomass"
585,6.26184057234785,0.997746948146686,3,0.576049469095617,"B) Biomass"
615,7.78875827433366,2.1676457593324,3,1.25149086265831,"B) Biomass"
645,7.77429256844311,1.67649822871865,3,0.967926703646645,"B) Biomass"
675,10.4835396629996,3.3684531193909,3,1.94477731523297,"B) Biomass"
705,7.01004066809801,1.50675483629986,3,0.869925310340496,"B) Biomass"
735,6.02672642685264,0.508274556173973,3,0.293452451829281,"B) Biomass"
765,4.11495702924625,1.58220613128033,3,0.913487135808175,"B) Biomass"
795,4.22004081352059,2.40899700059095,3,1.39083506676819,"B) Biomass"
825,2.66977285372555,2.70314639565207,3,1.56066229918869,"B) Biomass"
855,2.24795465980777,1.55462577290284,3,0.897563608474583,"B) Biomass"
885,1.55748573413459,0.715820275098739,3,0.413279028519649,"B) Biomass"
915,2.65548887567769,3.2415992957994,3,1.87153822603469,"B) Biomass"
945,1.01468248269467,1.23581027154023,3,0.713495392941055,"B) Biomass"
975,1.87111233848811,1.75399759439657,3,1.01267098328282,"B) Biomass"
1005,0.755999834124185,1.30943012321673,3,0.755999834124185,"B) Biomass"
1035,0.0934873965023665,0.161924920609436,3,0.0934873965023665,"B) Biomass"
1065,1.5902668251797,1.07381094823274,3,0.619965040020941,"B) Biomass"
1095,0.123216860615334,0.21341786293489,3,0.123216860615334,"B) Biomass"
1125,0.52207607217549,0.737021991312355,3,0.425519845082862,"B) Biomass"
1155,0.866030677206695,1.06918327421763,3,0.617293251182595,"B) Biomass"
1185,0.160342834806889,0.175943632068229,3,0.101581103336792,"B) Biomass"
